ID,Title_Romaji,Title_English,Title_Native,Type,Format,Genres,Episodes,Season,Season_Year,Start,End,Source,Country,Studios,Authors_Staff,Status,Average_Score,Mean_Score,Popularity,Favourites
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,ANIME,TV,"Action, Drama, Fantasy, Mystery",25.0,SPRING,2013.0,2013-4-7,2013-9-28,MANGA,JP,WIT STUDIO,"Tetsurou Araki (Director), Yasuko Kobayashi (Series Composition), Youko Hikasa (Theme Song Performance (ED1)), Hiroyuki Sawano (Music), Hironori Tanaka (Key Animation (eps 7, 21))",FINISHED,84.0,84.0,859225,53508
101922,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,ANIME,TV,"Action, Adventure, Drama, Fantasy, Supernatural",26.0,SPRING,2019.0,2019-4-6,2019-9-28,MANGA,JP,ufotable,"Koyoharu Gotouge (Original Creator), Gou Shiina (Music), Akira Matsushima (Character Design), Yuki Kajiura (Music), Haruo Sotozaki (Director)",FINISHED,83.0,83.0,814415,41891
1535,DEATH NOTE,Death Note,DEATH NOTE,ANIME,TV,"Mystery, Psychological, Supernatural, Thriller",37.0,FALL,2006.0,2006-10-4,2007-6-27,MANGA,JP,MADHOUSE,"Aya Hirano (Insert Song Performance), Takeshi Obata (Original Character Design), Tsugumi Ooba (Original Story), Tetsurou Araki (Director), Tetsurou Araki (Storyboard (OP1, OP2, eps 1, 21, 25, 37))",FINISHED,84.0,84.0,781252,42700
113415,Jujutsu Kaisen,JUJUTSU KAISEN,呪術廻戦,ANIME,TV,"Action, Drama, Supernatural",24.0,FALL,2020.0,2020-10-3,2021-3-27,MANGA,JP,MAPPA,"Gege Akutami (Original Creator), Hiroshi Seko (Script (eps 1-24)), Seong-Hu Park (Director), Hiroaki Tsutsumi (Music), Yoshimasa Terui (Music)",FINISHED,85.0,85.0,765997,49463
21459,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,ANIME,TV,"Action, Adventure, Comedy",13.0,SPRING,2016.0,2016-4-3,2016-6-26,MANGA,JP,bones,"Kouhei Horikoshi (Original Creator), Yousuke Kuroda (Series Composition), Kenji Nagasaki (Director), Yoshihiko Umakoshi (Character Design), Yoshihiko Umakoshi (Chief Animation Director)",FINISHED,76.0,76.0,732029,20875
11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),ANIME,TV,"Action, Adventure, Fantasy",148.0,FALL,2011.0,2011-10-2,2014-9-24,MANGA,JP,MADHOUSE,"Yoshihiro Togashi (Original Creator), Takahiro Yoshimatsu (Character Design (eps 1-87)), Galneryus (Theme Song Performance (ED2)), Tetsuya Takeuchi (Key Animation (ep 43)), Yoshihisa Hirano (Music)",FINISHED,89.0,89.0,694333,69143
21087,One Punch Man,One-Punch Man,ワンパンマン,ANIME,TV,"Action, Comedy, Sci-Fi, Supernatural",12.0,FALL,2015.0,2015-10-5,2015-12-21,MANGA,JP,MADHOUSE,"ONE (Original Story), Yuusuke Murata (Original Character Design), Shingo Natsume (Director), Chikashi Kubota (Character Design), Tomohiro Suzuki (Series Composition)",FINISHED,83.0,83.0,645752,24688
20605,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,ANIME,TV,"Action, Drama, Horror, Mystery, Psychological, Supernatural",12.0,SUMMER,2014.0,2014-7-4,2014-9-19,MANGA,JP,Studio Pierrot,"Sui Ishida (Original Creator), Shuuhei Morita (Director), Yutaka Yamada (Music), Tooru Kitajima (Theme Song Performance (OP)), Keisuke Yanagi (Editing)",FINISHED,75.0,75.0,616187,17521
20958,Shingeki no Kyojin 2,Attack on Titan Season 2,進撃の巨人２,ANIME,TV,"Action, Drama, Fantasy, Mystery",12.0,SPRING,2017.0,2017-4-1,2017-6-17,MANGA,JP,WIT STUDIO,"Hajime Isayama (Original Creator), Tetsurou Araki (Chief Director), Kyouji Asano (Character Design), Yasuko Kobayashi (Series Composition), Masashi Koizuka (Director)",FINISHED,84.0,84.0,608763,14193
11757,Sword Art Online,Sword Art Online,ソードアート・オンライン,ANIME,TV,"Action, Adventure, Fantasy, Romance",25.0,SUMMER,2012.0,2012-7-8,2012-12-23,LIGHT_NOVEL,JP,A-1 Pictures,"Saori Hayami (Insert Song Performance  (ep 3)), Haruka Tomatsu (Theme Song Performance (ED)), Yuki Kajiura (Music), Akira Amemiya (Key Animation (ep 8)), Yoshikazu Iwanami (Sound Director)",FINISHED,69.0,69.0,601827,17977
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,ANIME,TV,"Action, Adventure, Drama, Fantasy",64.0,SPRING,2009.0,2009-4-5,2010-7-4,MANGA,JP,bones,"Mike McFarland (ADR Director (English; eps. 1, 2, 3, 4, 5, 6, 17, 18, 19, 24-64)), Justin Cook (Producer (English)), John Burgmeier (ADR Script (English; eps. 1, 2, 3)), Caitlin Glass (ADR Director (English; eps. 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23)), Hiromu Arakawa (Original Creator)",FINISHED,90.0,90.0,598480,52043
20,NARUTO,Naruto,NARUTO -ナルト-,ANIME,TV,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",220.0,FALL,2002.0,2002-10-3,2007-2-8,MANGA,JP,Studio Pierrot,"Mary Elizabeth McGlynn (ADR Director (English)), Nozomu Sasaki (Theme Song Lyrics (ED11)), Masashi Kishimoto (Original Creator), ASIAN KUNG-FU GENERATION (Theme Song Lyrics  (OP2)), ASIAN KUNG-FU GENERATION (Theme Song Performance  (OP2))",FINISHED,79.0,79.0,596756,27917
21,ONE PIECE,ONE PIECE,ONE PIECE,ANIME,TV,"Action, Adventure, Comedy, Drama, Fantasy",2.0,FALL,1999.0,1999-10-20,None-None-None,MANGA,JP,Toei Animation,"Vic Mignogna (Theme Song Performance (English; OP1, OP3, ED11)), Mike McFarland (ADR Director (English)), Justin Cook (Producer (English)), Caitlin Glass (Theme Song Performance (English; ED2, ED7, ED10)), Stephanie Young (Theme Song Performance (English; ED4, ED12))",RELEASING,88.0,88.0,595860,85131
21519,Kimi no Na wa.,Your Name.,君の名は。,ANIME,MOVIE,"Drama, Romance, Supernatural",1.0,SUMMER,2016.0,2016-8-26,2016-8-26,ORIGINAL,JP,CoMix Wave,"Masayoshi Tanaka (Character Design), Makoto Shinkai (Director), Masashi Andou (Animation Director), Makoto Shinkai (Script), Osamu Masuyama (Background Art)",FINISHED,85.0,85.0,585152,33609
20954,Koe no Katachi,A Silent Voice,聲の形,ANIME,MOVIE,"Drama, Romance, Slice of Life",1.0,SUMMER,2016.0,2016-9-17,2016-9-17,MANGA,JP,Kyoto Animation,"Yoshitoki Ooima (Original Creator), Naoko Yamada (Director), Reiko Yoshida (Script Composition), Futoshi Nishiya (Character Design), Mutsuo Shinohara (Art Director)",FINISHED,88.0,88.0,574037,43109
99147,Shingeki no Kyojin 3,Attack on Titan Season 3,進撃の巨人３,ANIME,TV,"Action, Drama, Fantasy, Mystery",12.0,SUMMER,2018.0,2018-7-23,2018-10-15,MANGA,JP,WIT STUDIO,"Hajime Isayama (Original Creator), Tetsurou Araki (Chief Director), Masashi Koizuka (Director), Yasuko Kobayashi (Series Composition), Kyouji Asano (Character Design)",FINISHED,85.0,85.0,567711,14238
21856,Boku no Hero Academia 2,My Hero Academia Season 2,僕のヒーローアカデミア２,ANIME,TV,"Action, Adventure, Comedy",25.0,SPRING,2017.0,2017-4-1,2017-9-30,MANGA,JP,bones,"Kouhei Horikoshi (Original Creator), Kenji Nagasaki (Director), Yousuke Kuroda (Series Composition), Yuuki Hayashi (Music), Yoshihiko Umakoshi (Character Design)",FINISHED,79.0,79.0,558912,8879
101759,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,ANIME,TV,"Drama, Fantasy, Horror, Mystery, Psychological, Thriller",12.0,WINTER,2019.0,2019-1-10,2019-3-29,MANGA,JP,CloverWorks,"Posuka Demizu (Original Character Design), Kaiu Shirai (Original Story), Mamoru Kanbe (Director), Toshiya Oono (Series Composition), Kazuaki Shimada (Character Design)",FINISHED,83.0,83.0,542677,18149
110277,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,進撃の巨人 The Final Season,ANIME,TV,"Action, Drama, Fantasy, Mystery",16.0,WINTER,2021.0,2020-12-7,2021-3-29,MANGA,JP,MAPPA,"Hajime Isayama (Original Creator), Hiroshi Seko (Series Composition), Daisuke Niinuma (Chief Animation Director (eps 1-3, 6, 9, 11, 13-16)), Tomohiro Kishi (Character Design), Satoshi Sakai (Effects Animation Director (eps 1, 2, 5-8, 12-16))",FINISHED,86.0,86.0,529290,19362
20755,Ansatsu Kyoushitsu,Assassination Classroom,暗殺教室,ANIME,TV,"Action, Comedy, Drama, Supernatural",22.0,WINTER,2015.0,2015-1-10,2015-6-20,MANGA,JP,Lerche,"Yuusei Matsui (Original Creator), Seiji Kishi (Director), Kazuaki Morita (Character Design), Makoto Uezu (Screenplay), Keiko Kurosawa (Chief Animation Director)",FINISHED,79.0,79.0,527523,16020
21507,Mob Psycho 100,Mob Psycho 100,モブサイコ100,ANIME,TV,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",12.0,SUMMER,2016.0,2016-7-12,2016-9-27,MANGA,JP,bones,"ONE (Original Creator), Yuzuru Tachikawa (Director), Yoshimichi Kameda (Character Design), Kazuhiro Wakabayashi (Sound Director), Kenji Kawai (Music)",FINISHED,84.0,84.0,515211,27503
100166,Boku no Hero Academia 3,My Hero Academia Season 3,僕のヒーローアカデミア３,ANIME,TV,"Action, Adventure, Comedy, Drama",25.0,SPRING,2018.0,2018-4-7,2018-9-29,MANGA,JP,bones,"Kouhei Horikoshi (Original Creator), Kenji Nagasaki (Director), Yousuke Kuroda (Series Composition), Yoshihiko Umakoshi (Character Design), Yuuki Hayashi (Music)",FINISHED,79.0,79.0,511645,8473
21234,Boku dake ga Inai Machi,ERASED,僕だけがいない街,ANIME,TV,"Drama, Mystery, Psychological, Supernatural, Thriller",12.0,WINTER,2016.0,2016-1-8,2016-3-25,MANGA,JP,A-1 Pictures,"Tomohiko Itou (Director), Kei Sanbe (Original Creator), Keigo Sasaki (Character Design), Taku Kishimoto (Series Composition), Yuki Kajiura (Music)",FINISHED,81.0,81.0,508470,19429
20665,Shigatsu wa Kimi no Uso,Your lie in April,四月は君の嘘,ANIME,TV,"Drama, Music, Romance, Slice of Life",22.0,FALL,2014.0,2014-10-10,2015-3-20,MANGA,JP,A-1 Pictures,"Kyouhei Ishiguro (Director), Takao Yoshioka (Series Composition), Yukiko Aikei (Character Design), Masaru Yokoyama (Music), Naoshi Arakawa (Original Creator)",FINISHED,84.0,84.0,508301,26129
1735,NARUTO: Shippuuden,Naruto: Shippuden,NARUTO -ナルト- 疾風伝,ANIME,TV,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",500.0,WINTER,2007.0,2007-2-15,2017-3-23,MANGA,JP,Studio Pierrot,"Masashi Kishimoto (Original Creator), Yasuharu Takanashi (Music (eps 2-256, 261-500)), Junki Takegami (Series Composition (eps 1-289, 296-479)), FLOW (Theme Song Performance (OP6, ED34)), Akitarou Daichi (Episode Director (eps 10, 18, 27, 34, 50, 58, 66, 74))",FINISHED,81.0,81.0,506462,32499
104578,Shingeki no Kyojin 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人３ Part.2,ANIME,TV,"Action, Drama, Fantasy, Mystery",10.0,SPRING,2019.0,2019-4-29,2019-7-1,MANGA,JP,WIT STUDIO,"Hajime Isayama (Original Creator), Linked Horizon (Theme Song Performance (OP)), cinema staff (Theme Song Performance (ED)), Masashi Koizuka (Director), Hiroyuki Sawano (Music)",FINISHED,89.0,89.0,503729,23035
21355,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,ANIME,TV,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",25.0,SPRING,2016.0,2016-4-4,2016-9-19,LIGHT_NOVEL,JP,WHITE FOX,"Masaharu Watanabe (Director), Tappei Nagatsuki (Original Story), Shinichirou Ootsuka (Original Character Design), Masahiro Yokotani (Series Composition), Yoshiko Nakamura (Script (eps 6, 7, 9))",FINISHED,81.0,81.0,497300,25920
